FID,CNTRY_NAME,NATO,Year_Joine,Shape__Are,Shape__Len,Shape__A_1,Shape__L_1,Shape__Area,Shape__Length,Date_Joined
1,Albania,Yes,2009,50586713623.6,1271946.47866,0,0,50586713623.6025,1271946.47866283,2009/04/01 00:00:00+00
2,Belgium,Yes,1949,76131269473.3,1617771.31005,0,0,76131269473.3269,1617771.31004722,1949/08/24 00:00:00+00
3,Bulgaria,Yes,2004,206136986327,2514820.75422,0,0,206136986327.369,2514820.75422138,2004/03/29 00:00:00+00
4,Canada,Yes,1949,51194428023100,343480453.194,0,0,51194428023065.4,343480453.194055,1949/08/24 00:00:00+00
5,Croatia,Yes,2009,112026617793,4758013.43674,0,0,112026617793.403,4758013.43673666,2009/04/01 00:00:00+00
6,Czech Republic,Yes,1999,188422230979,2391757.62008,0,0,188422230978.78,2391757.6200841,1999/03/12 00:00:00+00
7,Denmark,Yes,1949,136059354738,6527979.52663,0,0,136059354738.451,6527979.5266262,1949/08/24 00:00:00+00
8,Estonia,Yes,2004,169454890679,3320005.01436,0,0,169454890679.271,3320005.01435701,2004/03/29 00:00:00+00
9,France,Yes,1949,1248708044680,10278128.241,0,0,1248708044683.82,10278128.2409611,1949/08/24 00:00:00+00
10,Germany,Yes,1955,907304831820,7612964.18959,0,0,907304831820.169,7612964.18959266,1955/05/06 00:00:00+00
11,Greece,Yes,1952,216371999893,9900649.39773,0,0,216371999892.882,9900649.3977342,1952/02/18 00:00:00+00
12,Hungary,Yes,1999,201147063295,2301611.61229,0,0,201147063294.838,2301611.61229187,1999/03/12 00:00:00+00
13,Iceland,Yes,1949,574334264745,8671035.83435,0,0,574334264745.062,8671035.83434569,1949/08/24 00:00:00+00
14,Italy,Yes,1949,559850880294,8648212.69239,0,0,559850880293.625,8648212.69239037,1949/08/24 00:00:00+00
15,Latvia,Yes,2004,215738283110,2738360.19946,0,0,215738283110.217,2738360.1994649,2004/03/29 00:00:00+00
16,Lithuania,Yes,2004,200559588522,2380963.08313,0,0,200559588522.379,2380963.08313462,2004/03/29 00:00:00+00
17,Luxembourg,Yes,1949,6180157226.39,371156.021932,0,0,6180157226.38745,371156.021931988,1949/08/24 00:00:00+00
18,Montenegro,Yes,2017,25634925667,936951.183871,0,0,25634925667.043,936951.183871271,2017/06/05 00:00:00+00
19,Netherlands,Yes,1949,94702936076.2,3606102.55119,0,0,94702936076.1565,3606102.55118689,1949/08/24 00:00:00+00
20,Norway,Yes,1949,3441893638680,72571498.8799,0,0,3441893638682.43,72571498.8798935,1949/08/24 00:00:00+00
21,Poland,Yes,1999,826761399032,4730103.30982,0,0,826761399032.091,4730103.30981604,1999/03/12 00:00:00+00
22,Portugal,Yes,1949,155189774329,3429623.45505,0,0,155189774328.805,3429623.45505329,1949/08/24 00:00:00+00
23,Romania,Yes,2004,489457842333,3713582.15436,0,0,489457842333.134,3713582.15436038,2004/03/29 00:00:00+00
24,Slovakia,Yes,2004,112269878205,1829938.4933,0,0,112269878205.362,1829938.49330142,2004/03/29 00:00:00+00
25,Slovenia,Yes,2004,42500557014.2,1243044.72191,0,0,42500557014.1563,1243044.72191069,2004/03/29 00:00:00+00
26,Spain,Yes,1982,871820095566,7492851.02193,0,0,871820095566.257,7492851.02193217,1982/05/30 00:00:00+00
27,Turkey,Yes,1952,1296778739590,9290164.45502,0,0,1296778739592.76,9290164.45501629,1952/02/18 00:00:00+00
28,United Kingdom,Yes,1949,714871825817,16208968.0006,0,0,714871825816.986,16208968.0005726,1949/08/24 00:00:00+00
29,United States,Yes,1949,21728947578000,99206990.5789,0,0,21728947577958.6,99206990.5788987,1949/08/24 00:00:00+00
30,North Macedonia,Yes,2020,45525704748.7,1145153.18941,2.7471007,9.01450473,45525704748.749,1145153.18940966,2020/03/27 00:00:00+00
33,Finland,Yes,2023,,,,,1823829463485.34,11212853.6746799,2023/04/04 00:00:00+00
34,Sweden,Pending,2023*,,,,,2164148174272.25,14666056.4633578,
